location,size,total_sqft,bath,price,bhk,price_per_sqft
1st Block Jayanagar,4 BHK,2850,4,428,4,15017.54
1st Block Jayanagar,3 BHK,1630,3,194,3,11901.84
1st Block Jayanagar,3 BHK,1875,2,235,3,12533.33
1st Block Jayanagar,3 BHK,1200,2,130,3,10833.33
1st Block Jayanagar,2 BHK,1235,2,148,2,11983.81
1st Block Jayanagar,4 BHK,2750,4,413,4,15018.18
1st Block Jayanagar,4 BHK,2450,4,368,4,15020.41
1st Phase JP Nagar,3 BHK,1875,3,167,3,8906.67
1st Phase JP Nagar,5 Bedroom,1500,5,85,5,5666.67
1st Phase JP Nagar,3 BHK,2065,4,210,3,10169.49
1st Phase JP Nagar,3 BHK,2059,3,225,3,10927.63
1st Phase JP Nagar,2 BHK,1394,2,100,2,7173.6
1st Phase JP Nagar,2 BHK,1077,2,93,2,8635.1
1st Phase JP Nagar,2 Bedroom,1566,2,180,2,11494.25
1st Phase JP Nagar,1 BHK,840,2,50,1,5952.38
1st Phase JP Nagar,3 BHK,1590,3,131,3,8238.99
1st Phase JP Nagar,3 BHK,2180,3,210,3,9633.03
1st Phase JP Nagar,2 BHK,1180,2,88.5,2,7500
1st Phase JP Nagar,2 BHK,1200,2,86,2,7166.67
1st Phase JP Nagar,2 BHK,1394,2,85,2,6097.56
1st Phase JP Nagar,3 BHK,2077,3,175,3,8425.61
1st Phase JP Nagar,2 BHK,1205,2,85,2,7053.94
1st Phase JP Nagar,2 BHK,900,2,75,2,8333.33
2nd Phase Judicial Layout,3 BHK,1450,2,50.75,3,3500
2nd Phase Judicial Layout,2 BHK,1150,2,40.25,2,3500
2nd Phase Judicial Layout,3 BHK,1350,2,47.25,3,3500
2nd Phase Judicial Layout,3 BHK,1350,2,47.25,3,3500
2nd Phase Judicial Layout,2 BHK,900,2,41,2,4555.56
2nd Phase Judicial Layout,3 BHK,1681,3,69,3,4104.7
2nd Phase Judicial Layout,3 BHK,1350,2,47.25,3,3500
2nd Phase Judicial Layout,2 BHK,1150,2,40.25,2,3500
2nd Stage Nagarbhavi,4 Bedroom,1500,4,220,4,14666.67
2nd Stage Nagarbhavi,6 Bedroom,3000,8,451,6,15033.33
2nd Stage Nagarbhavi,6 Bedroom,2400,8,450,6,18750
2nd Stage Nagarbhavi,4 Bedroom,1350,4,200,4,14814.81
2nd Stage Nagarbhavi,4 Bedroom,1200,4,225,4,18750
2nd Stage Nagarbhavi,4 Bedroom,1500,3,230,4,15333.33
5th Block Hbr Layout,2 BHK,1206,2,56,2,4643.45
5th Block Hbr Layout,3 BHK,1270,2,70,3,5511.81
5th Block Hbr Layout,2 BHK,1312,2,69,2,5259.15
5th Block Hbr Layout,2 BHK,1100,2,48,2,4363.64
5th Block Hbr Layout,5 Bedroom,3600,5,130,5,3611.11
5th Block Hbr Layout,6 BHK,5100,5,300,6,5882.35
5th Phase JP Nagar,2 BHK,1075,2,60,2,5581.4
5th Phase JP Nagar,2 BHK,1150,3,52.5,2,4565.22
5th Phase JP Nagar,2 BHK,1256,2,62.8,2,5000
5th Phase JP Nagar,2 BHK,1207,2,63,2,5219.55
5th Phase JP Nagar,3 BHK,1725,2,100,3,5797.1
5th Phase JP Nagar,2 BHK,1440,2,60,2,4166.67
5th Phase JP Nagar,3 BHK,1700,2,100,3,5882.35
5th Phase JP Nagar,5 BHK,2500,5,110,5,4400
5th Phase JP Nagar,1 BHK,600,1,30,1,5000
5th Phase JP Nagar,2 BHK,1390,2,65,2,4676.26
5th Phase JP Nagar,2 BHK,1256,2,62.8,2,5000
5th Phase JP Nagar,2 BHK,1000,2,48,2,4800
5th Phase JP Nagar,3 BHK,1350,2,75,3,5555.56
5th Phase JP Nagar,1 BHK,552,1,23.5,1,4257.25
5th Phase JP Nagar,2 BHK,1200,2,51,2,4250
5th Phase JP Nagar,2 BHK,1030,2,57,2,5533.98
5th Phase JP Nagar,2 BHK,1200,2,68,2,5666.67
5th Phase JP Nagar,2 BHK,1190,2,61.8,2,5193.28
5th Phase JP Nagar,5 BHK,4000,5,170,5,4250
5th Phase JP Nagar,2 BHK,1080,2,53,2,4907.41
5th Phase JP Nagar,2 BHK,1041,2,54,2,5187.32
5th Phase JP Nagar,2 BHK,812,2,42,2,5172.41
5th Phase JP Nagar,2 BHK,1010,2,57,2,5643.56
5th Phase JP Nagar,2 BHK,1075,2,60,2,5581.4
6th Phase JP Nagar,2 BHK,1192,2,74,2,6208.05
6th Phase JP Nagar,2 BHK,1180,2,80,2,6779.66
6th Phase JP Nagar,4 BHK,3245,4,250,4,7704.16
6th Phase JP Nagar,3 BHK,1645,3,100,3,6079.03
6th Phase JP Nagar,2 BHK,1140,2,65,2,5701.75
6th Phase JP Nagar,3 BHK,2040,3,200,3,9803.92
6th Phase JP Nagar,2 BHK,1213,2,63,2,5193.73
6th Phase JP Nagar,2 BHK,1216,2,60,2,4934.21
6th Phase JP Nagar,2 BHK,1460,2,80,2,5479.45
6th Phase JP Nagar,3 BHK,2003,3,200,3,9985.02
6th Phase JP Nagar,3 BHK,1810,3,131,3,7237.57
6th Phase JP Nagar,3 BHK,1515,2,135,3,8910.89
6th Phase JP Nagar,2 BHK,1192,2,75,2,6291.95
6th Phase JP Nagar,2 BHK,1280,2,88,2,6875
7th Phase JP Nagar,2 BHK,1080,2,72,2,6666.67
7th Phase JP Nagar,2 BHK,1270,2,93,2,7322.83
7th Phase JP Nagar,3 BHK,1420,2,100,3,7042.25
7th Phase JP Nagar,3 BHK,1850,3,150,3,8108.11
7th Phase JP Nagar,2 BHK,1245,2,94,2,7550.2
7th Phase JP Nagar,2 BHK,1175,2,82,2,6978.72
7th Phase JP Nagar,3 BHK,1400,2,95,3,6785.71
7th Phase JP Nagar,3 BHK,2225,3,160,3,7191.01
7th Phase JP Nagar,2 BHK,1050,2,71,2,6761.9
7th Phase JP Nagar,2 BHK,1100,2,46,2,4181.82
7th Phase JP Nagar,2 BHK,918,2,50.49,2,5500
7th Phase JP Nagar,3 BHK,1450,2,100,3,6896.55
7th Phase JP Nagar,2 BHK,1190,2,49.98,2,4200
7th Phase JP Nagar,3 BHK,1420,2,96,3,6760.56
7th Phase JP Nagar,3 BHK,1680,3,120,3,7142.86
7th Phase JP Nagar,2 BHK,980,2,69,2,7040.82
7th Phase JP Nagar,2 BHK,1180,2,72,2,6101.69
7th Phase JP Nagar,3 BHK,1400,3,115,3,8214.29
7th Phase JP Nagar,2 BHK,1270,2,83,2,6535.43
7th Phase JP Nagar,4 BHK,2503,4,188,4,7510.99
7th Phase JP Nagar,3 BHK,2200,3,190,3,8636.36
7th Phase JP Nagar,3 BHK,1575,2,110,3,6984.13
7th Phase JP Nagar,3 BHK,1850,3,140,3,7567.57
7th Phase JP Nagar,3 BHK,1575,2,120,3,7619.05
7th Phase JP Nagar,3 BHK,1850,3,150,3,8108.11
7th Phase JP Nagar,3 BHK,1680,3,120,3,7142.86
7th Phase JP Nagar,2 BHK,1175,2,82.5,2,7021.28
7th Phase JP Nagar,2 BHK,1215,2,90,2,7407.41
7th Phase JP Nagar,2 BHK,1050,2,75,2,7142.86
7th Phase JP Nagar,3 BHK,1300,3,89.13,3,6856.15
7th Phase JP Nagar,2 BHK,1130,2,73,2,6460.18
7th Phase JP Nagar,3 BHK,1450,3,100,3,6896.55
7th Phase JP Nagar,2 BHK,1050,2,50,2,4761.9
7th Phase JP Nagar,2 BHK,1275,2,87,2,6823.53
7th Phase JP Nagar,3 BHK,1650,3,110,3,6666.67
7th Phase JP Nagar,2 BHK,850,2,42,2,4941.18
7th Phase JP Nagar,3 BHK,1680,3,117,3,6964.29
7th Phase JP Nagar,3 BHK,1850,3,150,3,8108.11
7th Phase JP Nagar,2 BHK,1236,2,61.33,2,4961.97
7th Phase JP Nagar,2 BHK,1000,2,53,2,5300
7th Phase JP Nagar,3 BHK,1680,3,125,3,7440.48
7th Phase JP Nagar,3 BHK,1675,2,135,3,8059.7
7th Phase JP Nagar,2 BHK,1187,2,59,2,4970.51
7th Phase JP Nagar,3 BHK,1850,3,155,3,8378.38
7th Phase JP Nagar,2 BHK,1000,2,61,2,6100
7th Phase JP Nagar,3 BHK,1460,2,100,3,6849.32
7th Phase JP Nagar,3 BHK,1650,3,110,3,6666.67
7th Phase JP Nagar,2 BHK,1200,2,62.5,2,5208.33
